# timestamp,mag_x,mag_y,mag_z
1527409020105,-34.78241,-5.5023193,-13.156128
1527409020116,-34.78241,-5.5023193,-13.156128
1527409020126,-33.546448,-6.9335938,-11.994934
1527409020136,-33.546448,-6.9335938,-11.994934
1527409020147,-31.733704,-7.987976,-13.104248
1527409020157,-31.733704,-7.987976,-13.104248
1527409020167,-32.865906,-11.608887,-11.08551
1527409020178,-32.865906,-11.608887,-11.08551
1527409020188,-31.030273,-4.5822144,-12.390137
1527409020197,-31.030273,-4.5822144,-12.390137
1527409020208,-31.030273,-4.5822144,-12.390137
1527409020217,-31.030273,-4.5822144,-12.390137
1527409020228,-31.030273,-4.5822144,-12.390137
1527409020238,-31.030273,-4.5822144,-12.390137
1527409020248,-31.030273,-4.5822144,-12.390137
1527409020258,-31.030273,-4.5822144,-12.390137
1527409020268,-31.567383,-6.0821533,-15.126038
1527409020279,-31.567383,-6.0821533,-15.126038
1527409020290,-32.383728,-7.637024,-13.90686
1527409020300,-32.383728,-7.637024,-13.90686
1527409020310,-33.483887,-7.7804565,-13.955688
1527409020321,-33.483887,-7.7804565,-13.955688
1527409020331,-32.073975,-8.761597,-11.575317
1527409020341,-32.073975,-8.761597,-11.575317
1527409020351,-34.93805,-10.424805,-13.502502
1527409020361,-34.93805,-10.424805,-13.502502
1527409020371,-32.868958,-13.208008,-8.451843
1527409020381,-32.868958,-13.208008,-8.451843
1527409020392,-32.788086,-9.14917,-10.531616
1527409020403,-32.788086,-9.14917,-10.531616
1527409020413,-33.944702,-8.406067,-16.404724
1527409020423,-33.944702,-8.406067,-16.404724
1527409020433,-30.288696,-10.124207,-9.777832
1527409020443,-30.288696,-10.124207,-9.777832
1527409020453,-34.173584,-7.878113,-12.458801
1527409020463,-34.173584,-7.878113,-12.458801
1527409020473,-32.807922,-15.643311,-10.221863
1527409020483,-32.807922,-15.643311,-10.221863
1527409020493,-30.999756,-8.917236,-9.994507
1527409020503,-30.999756,-8.917236,-9.994507
1527409020513,-34.550476,-9.089661,-10.920715
1527409020523,-34.550476,-9.089661,-10.920715
1527409020534,-35.964966,-11.286926,-12.309265
1527409020544,-35.964966,-11.286926,-12.309265
1527409020554,-32.574463,-8.255005,-10.694885
1527409020563,-32.574463,-8.255005,-10.694885
1527409020573,-33.200073,-9.194946,-12.075806
1527409020585,-32.97882,-11.340332,-10.029602
1527409020595,-32.97882,-11.340332,-10.029602
1527409020605,-32.97882,-11.340332,-10.029602
1527409020615,-34.86023,-7.965088,-12.9470825
1527409020625,-32.177734,-11.520386,-10.597229
1527409020637,-32.177734,-11.520386,-10.597229
1527409020652,-33.522034,-8.218384,-13.946533
1527409020662,-33.522034,-8.218384,-13.946533
1527409020672,-36.2381,-9.735107,-12.359619
1527409020682,-36.2381,-9.735107,-12.359619
1527409020692,-34.23462,-16.410828,-9.660339
1527409020702,-34.23462,-16.410828,-9.660339
1527409020712,-35.13794,-9.588623,-13.07373
1527409020722,-35.13794,-9.588623,-13.07373
1527409020732,-33.361816,-11.080933,-14.328003
1527409020742,-33.361816,-11.080933,-14.328003
1527409020752,-32.57599,-9.840393,-10.809326
1527409020762,-32.57599,-9.840393,-10.809326
1527409020772,-34.054565,-12.768555,-12.182617
1527409020783,-34.054565,-12.768555,-12.182617
1527409020793,-32.203674,-11.810303,-11.048889
1527409020803,-32.203674,-11.810303,-11.048889
1527409020813,-36.465454,-12.350464,-14.596558
1527409020823,-36.465454,-12.350464,-14.596558
1527409020833,-34.17206,-7.8720093,-13.68103
1527409020843,-34.17206,-7.8720093,-13.68103
1527409020853,-33.148193,-10.183716,-14.796448
1527409020862,-33.148193,-10.183716,-14.796448
1527409020873,-34.075928,-11.465454,-13.587952
1527409020883,-34.075928,-11.465454,-13.587952
1527409020893,-33.885193,-9.268188,-15.464783
1527409020903,-33.885193,-9.268188,-15.464783
1527409020913,-33.04596,-9.014893,-15.2786255
1527409020923,-33.04596,-9.014893,-15.2786255
1527409020933,-33.839417,-11.865234,-13.873291
1527409020944,-33.839417,-11.865234,-13.873291
1527409020954,-33.73413,-9.100342,-16.072083
1527409020965,-34.57184,-9.353638,-16.25824
1527409020975,-34.57184,-9.353638,-16.25824
1527409020984,-33.42285,-10.214233,-16.030884
1527409020995,-33.42285,-10.214233,-16.030884
1527409021005,-35.047913,-10.142517,-15.193176
1527409021014,-35.047913,-10.142517,-15.193176
1527409021025,-35.925293,-10.835266,-14.912415
1527409021036,-35.925293,-10.835266,-14.912415
1527409021047,-36.87744,-12.408447,-13.851929
1527409021057,-36.87744,-12.408447,-13.851929
1527409021067,-31.829834,-12.202454,-9.495544
1527409021077,-31.829834,-12.202454,-9.495544
1527409021088,-33.236694,-9.62677,-13.1362915
1527409021098,-33.236694,-9.62677,-13.1362915
1527409021109,-34.155273,-13.935852,-12.158203
1527409021120,-34.155273,-13.935852,-12.158203
1527409021130,-33.79669,-8.250427,-14.72168
1527409021139,-33.79669,-8.250427,-14.72168
1527409021150,-31.932068,-7.142639,-14.355469
1527409021160,-31.932068,-7.142639,-14.355469
1527409021170,-33.592224,-13.720703,-11.526489
1527409021181,-33.592224,-13.720703,-11.526489
1527409021191,-34.858704,-7.9574585,-14.474487
1527409021201,-34.858704,-7.9574585,-14.474487
1527409021211,-35.71167,-9.947205,-14.009094
1527409021226,-36.125183,-9.999084,-14.485168
1527409021236,-36.125183,-9.999084,-14.485168
1527409021247,-34.81903,-7.510376,-16.314697
1527409021257,-34.81903,-7.510376,-16.314697
1527409021268,-33.695984,-8.665466,-15.623474
1527409021278,-33.695984,-8.665466,-15.623474
1527409021288,-33.966064,-11.753845,-10.676575
1527409021298,-33.966064,-11.753845,-10.676575
1527409021308,-37.31079,-9.57489,-15.008545
1527409021318,-37.31079,-9.57489,-15.008545
1527409021329,-34.88159,-14.463806,-11.875916
1527409021338,-34.88159,-14.463806,-11.875916
1527409021349,-36.750793,-10.949707,-13.88092
1527409021359,-36.750793,-10.949707,-13.88092
1527409021368,-34.111023,-10.307312,-15.296936
1527409021379,-34.111023,-10.307312,-15.296936
1527409021389,-33.836365,-10.279846,-13.75885
1527409021399,-33.836365,-10.279846,-13.75885
1527409021409,-35.30426,-11.497498,-10.441589
1527409021421,-35.30426,-11.497498,-10.441589
1527409021430,-35.009766,-8.125305,-13.8671875
1527409021441,-35.009766,-8.125305,-13.8671875
1527409021452,-34.0683,-6.6955566,-15.534973
1527409021463,-34.0683,-6.6955566,-15.534973
1527409021472,-32.724,-8.41217,-12.072754
1527409021483,-32.724,-8.41217,-12.072754
1527409021493,-34.89685,-8.39386,-14.770508
1527409021503,-34.89685,-8.39386,-14.770508
1527409021513,-33.972168,-8.708191,-14.260864
1527409021523,-33.972168,-8.708191,-14.260864
1527409021533,-37.254333,-13.606262,-14.907837
1527409021543,-37.254333,-13.606262,-14.907837
1527409021553,-34.70764,-7.7835083,-16.455078
1527409021562,-34.70764,-7.7835083,-16.455078
1527409021573,-34.20868,-8.303833,-14.73999
1527409021583,-34.20868,-8.303833,-14.73999
1527409021593,-34.770203,-8.514404,-16.134644
1527409021602,-34.770203,-8.514404,-16.134644
1527409021613,-35.67047,-7.9101562,-16.497803
1527409021623,-35.67047,-7.9101562,-16.497803
1527409021633,-35.324097,-10.185242,-13.98468
1527409021643,-35.324097,-10.185242,-13.98468
1527409021653,-36.627197,-12.65564,-15.512085
1527409021664,-36.627197,-12.65564,-15.512085
1527409021674,-32.63855,-10.56366,-12.016296
1527409021684,-33.181763,-13.674927,-9.9823
1527409021694,-33.181763,-13.674927,-9.9823
1527409021704,-34.591675,-12.696838,-11.599731
1527409021714,-34.591675,-12.696838,-11.599731
1527409021724,-33.84552,-7.2509766,-13.832092
1527409021734,-33.84552,-7.2509766,-13.832092
1527409021744,-33.839417,-11.868286,-13.568115
1527409021754,-33.839417,-11.868286,-13.568115
1527409021764,-33.839417,-11.868286,-13.568115
1527409021774,-35.073853,-8.857727,-13.088989
1527409021784,-34.20868,-8.300781,-15.50293
1527409021794,-34.20868,-8.300781,-15.50293
1527409021804,-34.20868,-8.300781,-15.50293
1527409021814,-35.777283,-10.68573,-12.161255
1527409021824,-34.46808,-14.4088745,-12.162781
1527409021834,-34.46808,-14.4088745,-12.162781
1527409021844,-34.46808,-14.4088745,-12.162781
1527409021854,-36.442566,-12.075806,-11.244202
1527409021863,-36.442566,-12.075806,-11.244202
1527409021874,-34.71527,-12.562561,-12.982178
1527409021884,-34.48639,-9.925842,-14.866638
1527409021894,-34.48639,-9.925842,-14.866638
